"","diff_otu","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Study","CI_low","CI_hig","Significant","taxonomy","Taxonomy","ID_Taxonomy","Taxon","diff_oral","Taxon_oral","taxon_oral","absFC"
"80","359079","28.3375220773765",3.68616160295574,"0.374836889718477","9.83404169670773","8.0328706855524e-23",6.42629654844192e-20,"PRJNA375772_Xi_an",2.95522966800471,4.41709353790676,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus"," s__anginosus","359079 
  s__anginosus","359079; s__anginosus","*","* 359079; s__anginosus","* 359079 
  s__anginosus",3.68616160295574
"108","4318284","22.0168739457133",3.41784904068544,"0.44613916387601","7.66094823640123","1.84565242381139e-14",3.28115986455358e-12,"PRJNA375772_Xi_an",2.54787767112722,4.28782041024366,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__"," g__Dialister","4318284 
  g__Dialister","4318284; g__Dialister","*","* 4318284; g__Dialister","* 4318284 
  g__Dialister",3.41784904068544
"92","4297119","21.4409215905562",3.37282941173848,"0.459005300474665","7.34812737075277","2.01002918226797e-13",1.40601541299644e-10,"PRJNA375772_Inner_Mongolia",2.47776907581289,4.26788974766408,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4297119 
  g__Leptotrichia","4297119; g__Leptotrichia","*","* 4297119; g__Leptotrichia","* 4297119 
  g__Leptotrichia",3.37282941173848
"129","4396516","8.10370047956267",3.31166740310099,"0.286075798444304","11.5761886224211","5.44118488162603e-31",2.9201025531393e-29,"PRJNA481413",2.7538195961346,3.86951521006738,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__"," f__Lachnospiraceae","4396516 
  f__Lachnospiraceae","4396516; f__Lachnospiraceae",""," 4396516; f__Lachnospiraceae"," 4396516 
  f__Lachnospiraceae",3.31166740310099
"148","4458501","53.1244279198637",3.30354133487629,"0.437114182038526","7.55761645497269","4.10522431211231e-14",6.5683588993797e-12,"PRJNA375772_Xi_an",2.45116867990116,4.15591398985141,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__"," g__Parvimonas","4458501 
  g__Parvimonas","4458501; g__Parvimonas","*","* 4458501; g__Parvimonas","* 4458501 
  g__Parvimonas",3.30354133487629
"169","509149","24.9200807158323",3.1881184759261,"0.439247183625994","7.25814210032748","3.92443165329178e-13",2.5424538809056e-12,"PRJEB26931",2.33158646785542,4.04465048399679,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__"," g__Lactobacillus","509149 
  g__Lactobacillus","509149; g__Lactobacillus","*","* 509149; g__Lactobacillus","* 509149 
  g__Lactobacillus",3.1881184759261
"136","4432270","8.38348162483357",3.096137783196,"0.395341329752905","7.83155605089693","4.81868434270079e-15",3.46219145729628e-14,"PRJEB26931",2.32522219017783,3.86705337621416,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__mucosae"," s__mucosae","4432270 
  s__mucosae","4432270; s__mucosae",""," 4432270; s__mucosae"," 4432270 
  s__mucosae",3.096137783196
"181","553611","16.1388849260706",3.04991892673234,"0.428997130022","7.10941568904187","1.16535263299832e-12",1.24304280853155e-10,"PRJNA375772_Xi_an",2.21337452318944,3.88646333027524,"GC enriched","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__"," g__Bifidobacterium","553611 
  g__Bifidobacterium","553611; g__Bifidobacterium","*","* 553611; g__Bifidobacterium","* 553611 
  g__Bifidobacterium",3.04991892673234
"8","1018784","6.59699173898372",3.00982367352077,"0.372015626070391","8.0905840039936","5.93793305670248e-16",1.357241841532e-13,"PRJNA375772_Xi_an",2.28439320268351,3.73525414435803,"GC enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","1018784 
  g__Prevotella","1018784; g__Prevotella","*","* 1018784; g__Prevotella","* 1018784 
  g__Prevotella",3.00982367352077
"139","4432270","5.23743455366254",2.95166443396646,"0.285386068110238","10.342706823468","4.51598299922272e-25",1.67786137586506e-23,"PRJNA481413",2.3951616011515,3.50816726678143,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__mucosae"," s__mucosae","4432270 
  s__mucosae","4432270; s__mucosae",""," 4432270; s__mucosae"," 4432270 
  s__mucosae",2.95166443396646
"172","509149","4.92286404352679",2.92919233904978,"0.279166130751689","10.4926494168994","9.33727798535163e-26",4.09991387902258e-24,"PRJNA481413",2.38481838408399,3.47356629401558,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__"," g__Lactobacillus","509149 
  g__Lactobacillus","509149; g__Lactobacillus","*","* 509149; g__Lactobacillus","* 509149 
  g__Lactobacillus",2.92919233904978
"104","4302282","12.9761104081494",2.89267812376202,"0.278635156946287","10.3815977691561","3.00699927308694e-25",1.21031720741749e-23,"PRJNA481413",2.34933956771676,3.43601667980727,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4302282 
  g__Leptotrichia","4302282; g__Leptotrichia","*","* 4302282; g__Leptotrichia","* 4302282 
  g__Leptotrichia",2.89267812376202
"174","529453","9.33293635090442",2.86510651859202,"0.389460993961982","7.35659427519383","1.88661655100324e-13",1.25299816217573e-12,"PRJEB26931",2.10565758036615,3.62455545681788,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__"," g__Fusobacterium","529453 
  g__Fusobacterium","529453; g__Fusobacterium","*","* 529453; g__Fusobacterium","* 529453 
  g__Fusobacterium",2.86510651859202
"204","903373","8.19032085935793",2.80234559194126,"0.404855881913629","6.92183494703211","4.45830524923427e-12",3.10142973859775e-10,"PRJNA375772_Xi_an",2.01287662220968,3.59181456167284,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__"," g__Selenomonas","903373 
  g__Selenomonas","903373; g__Selenomonas","*","* 903373; g__Selenomonas","* 903373 
  g__Selenomonas",2.80234559194126
"179","553611","4.8950283029226",2.67322507366701,"0.393066800995553","6.8009434195315","1.03936239850158e-11",5.83812070647698e-11,"PRJEB26931",1.90674481172568,3.43970533560834,"GC enriched","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__"," g__Bifidobacterium","553611 
  g__Bifidobacterium","553611; g__Bifidobacterium","*","* 553611; g__Bifidobacterium","* 553611 
  g__Bifidobacterium",2.67322507366701
"91","4297119","6.91343745157773",2.64535049404566,"0.403945810722643","6.54877566204544","5.80106972391036e-11",3.06296481422467e-10,"PRJEB26931",1.85765616313651,3.43304482495481,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4297119 
  g__Leptotrichia","4297119; g__Leptotrichia","*","* 4297119; g__Leptotrichia","* 4297119 
  g__Leptotrichia",2.64535049404566
"76","336228","7.68532427950045",2.5960698868905,"0.267013956702022","9.72259996801449","2.41533976960858e-22",6.14004794063655e-21,"PRJNA481413",2.07539267132156,3.11674710245945,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__"," g__Dialister","336228 
  g__Dialister","336228; g__Dialister","*","* 336228; g__Dialister","* 336228 
  g__Dialister",2.5960698868905
"177","529453","4.88046652257513",2.56389331113556,"0.253529018451147","10.1128199320095","4.84687219691974e-24",1.56069284740816e-22,"PRJNA481413",2.06951172515583,3.0582748971153,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__"," g__Fusobacterium","529453 
  g__Fusobacterium","529453; g__Fusobacterium","*","* 529453; g__Fusobacterium","* 529453 
  g__Fusobacterium",2.56389331113556
"132","4399326","38.9108930194928",2.54380123295372,"0.429376339261254","5.92440942910445","3.1342169077305e-09",8.76953890782994e-07,"PRJNA375772_Inner_Mongolia",1.70651737139428,3.38108509451316,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__"," g__Selenomonas","4399326 
  g__Selenomonas","4399326; g__Selenomonas","*","* 4399326; g__Selenomonas","* 4399326 
  g__Selenomonas",2.54380123295372
"94","4297119","4.11355799433961",2.44714427074493,"0.263745650937331","9.2784251116482","1.72002011926526e-20",3.9560462743101e-19,"PRJNA481413",1.93284025141714,2.96144829007273,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4297119 
  g__Leptotrichia","4297119; g__Leptotrichia","*","* 4297119; g__Leptotrichia","* 4297119 
  g__Leptotrichia",2.44714427074493
"162","463233","11.8259981843202",-2.44686957456915,"0.364875741593009","-6.70603522143285","1.99983472390969e-11",1.2798942233022e-09,"PRJNA375772_Xi_an",-3.15837727067552,-1.73536187846278,"Gastritis enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__"," f__S24-7","463233 
  f__S24-7","463233; f__S24-7",""," 463233; f__S24-7"," 463233 
  f__S24-7",2.44686957456915
"38","1077325","5.19447740098833",2.43568810752182,"0.351102088002969","6.93726466104419","3.99764489168728e-12",2.90737810304529e-10,"PRJNA375772_Xi_an",1.75103903591603,3.12033717912761,"GC enriched","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__parahaemolyticus"," s__parahaemolyticus","1077325 
  s__parahaemolyticus","1077325; s__parahaemolyticus",""," 1077325; s__parahaemolyticus"," 1077325 
  s__parahaemolyticus",2.43568810752182
"133","4399326","9.48585864872308",2.42705821626465,"0.37255150164544","6.51469180917301","7.28390520118327e-11",4.1622315435333e-09,"PRJNA375772_Xi_an",1.70058278805604,3.15353364447326,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__"," g__Selenomonas","4399326 
  g__Selenomonas","4399326; g__Selenomonas","*","* 4399326; g__Selenomonas","* 4399326 
  g__Selenomonas",2.42705821626465
"13","1049979","47.1076168012869",2.41802267122294,"0.326200092926382","7.41269767746094","1.23755788516501e-13",1.65007718022001e-11,"PRJNA375772_Xi_an",1.78193249001649,3.05411285242938,"GC enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__"," g__[Prevotella]","1049979 
  g__[Prevotella]","1049979; g__[Prevotella]","*","* 1049979; g__[Prevotella]","* 1049979 
  g__[Prevotella]",2.41802267122294
"175","529453","10.5259075683851",2.25477889936532,"0.400570795544625","5.6289148496202","1.81346889655558e-08",3.17130373285157e-06,"PRJNA375772_Inner_Mongolia",1.4736658480533,3.03589195067733,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__"," g__Fusobacterium","529453 
  g__Fusobacterium","529453; g__Fusobacterium","*","* 529453; g__Fusobacterium","* 529453 
  g__Fusobacterium",2.25477889936532
"166","471157","5.38396854955284",2.22746803662803,"0.343130051290198","6.49161455912289","8.49212986581799e-11",4.66624882613916e-09,"PRJNA375772_Xi_an",1.55836443661215,2.89657163664392,"GC enriched","k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__"," g__Slackia","471157 
  g__Slackia","471157; g__Slackia","*","* 471157; g__Slackia","* 471157 
  g__Slackia",2.22746803662803
"95","4297119","",2.20785821553107,"","","",0.000329028694991738,"Combined",1.00291325526834,3.4128031757938,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4297119 
  g__Leptotrichia","4297119; g__Leptotrichia","*","* 4297119; g__Leptotrichia","* 4297119 
  g__Leptotrichia",2.20785821553107
"81","359079","3.92353117146893",2.20357050971633,"0.258002347741671","8.54089324769514","1.33188216208306e-17",2.3825892010597e-16,"PRJNA481413",1.70046593162007,2.70667508781259,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus"," s__anginosus","359079 
  s__anginosus","359079; s__anginosus","*","* 359079; s__anginosus","* 359079 
  s__anginosus",2.20357050971633
"14","1049979","75.1645295146756",2.20031704850301,"0.32198464563077","6.83360861569212","8.28047474780001e-12",7.99893860637481e-11,"PRJNA481413",1.572446989523,2.82818710748301,"GC enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__"," g__[Prevotella]","1049979 
  g__[Prevotella]","1049979; g__[Prevotella]","*","* 1049979; g__[Prevotella]","* 1049979 
  g__[Prevotella]",2.20031704850301
"119","4342220","6.87289446564849",2.18502935779939,"0.269451919091576","8.10916235136103","5.09699068145309e-16",7.24072499747601e-15,"PRJNA481413",1.65959811557082,2.71046060002796,"GC enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","4342220 
  g__Prevotella","4342220; g__Prevotella","*","* 4342220; g__Prevotella","* 4342220 
  g__Prevotella",2.18502935779939
"75","336228","8.42975232237325",2.16205799955358,"0.317499262583949","6.80964731054112","9.78383043649797e-12",6.52255362433198e-10,"PRJNA375772_Xi_an",1.54293443751488,2.78118156159228,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__"," g__Dialister","336228 
  g__Dialister","336228; g__Dialister","*","* 336228; g__Dialister","* 336228 
  g__Dialister",2.16205799955358
"192","73894","3.6513300653402",2.13421313381086,"0.385584170379135","5.53501232094757","3.1120647678216e-08",1.24012845087532e-07,"PRJEB26931",1.38232400157155,2.88610226605017,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__"," o__Clostridiales","73894 
  o__Clostridiales","73894; o__Clostridiales","*","* 73894; o__Clostridiales","* 73894 
  o__Clostridiales",2.13421313381086
"178","529453","",2.13236849903624,"","","",1.0919420819722e-06,"Combined",1.27493988038959,2.98979711768289,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__"," g__Fusobacterium","529453 
  g__Fusobacterium","529453; g__Fusobacterium","*","* 529453; g__Fusobacterium","* 529453 
  g__Fusobacterium",2.13236849903624
"9","1018784","7.42064983845465",2.06103962172131,"0.273927859974504","7.52402337576448","5.31158420527862e-14",6.25730529548676e-13,"PRJNA481413",1.52688029477103,2.59519894867159,"GC enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","1018784 
  g__Prevotella","1018784; g__Prevotella","*","* 1018784; g__Prevotella","* 1018784 
  g__Prevotella",2.06103962172131
"153","4468411","2.8228659169526",2.0144143576119,"0.247615814967877","8.13524111080395","4.11119296319015e-16",6.20533187881514e-15,"PRJNA481413",1.53156351842454,2.49726519679926,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__"," g__Fusobacterium","4468411 
  g__Fusobacterium","4468411; g__Fusobacterium","*","* 4468411; g__Fusobacterium","* 4468411 
  g__Fusobacterium",2.0144143576119
"135","4399326","",2.00692352642559,"","","",5.98465925955504e-12,"Combined",1.43519537090436,2.57865168194683,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__"," g__Selenomonas","4399326 
  g__Selenomonas","4399326; g__Selenomonas","*","* 4399326; g__Selenomonas","* 4399326 
  g__Selenomonas",2.00692352642559
"183","553611","",1.99254580559665,"","","",1.76733764316767e-05,"Combined",1.08272915409604,2.90236245709725,"GC enriched","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__"," g__Bifidobacterium","553611 
  g__Bifidobacterium","553611; g__Bifidobacterium","*","* 553611; g__Bifidobacterium","* 553611 
  g__Bifidobacterium",1.99254580559665
"82","359079","",1.98560453255844,"","","",0.00150186181604355,"Combined",0.759606827190273,3.21160223792661,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus"," s__anginosus","359079 
  s__anginosus","359079; s__anginosus","*","* 359079; s__anginosus","* 359079 
  s__anginosus",1.98560453255844
"173","509149","",1.97334802270915,"","","",0.00261544748571865,"Combined",0.688253454797288,3.25844259062101,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__"," g__Lactobacillus","509149 
  g__Lactobacillus","509149; g__Lactobacillus","*","* 509149; g__Lactobacillus","* 509149 
  g__Lactobacillus",1.97334802270915
"118","4342220","6.30965026091683",1.95945006352705,"0.385167723883198","5.08726443579486","3.63265163798959e-07",1.3838672906627e-05,"PRJNA375772_Xi_an",1.20837300195481,2.71052712509928,"GC enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","4342220 
  g__Prevotella","4342220; g__Prevotella","*","* 4342220; g__Prevotella","* 4342220 
  g__Prevotella",1.95945006352705
"107","4318284","28.687731483721",1.95691462402121,"0.470596027475424","4.15837472007434","3.20519936632711e-05",0.00144647545596504,"PRJNA375772_Inner_Mongolia",1.03925237044414,2.87457687759829,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__"," g__Dialister","4318284 
  g__Dialister","4318284; g__Dialister","*","* 4318284; g__Dialister","* 4318284 
  g__Dialister",1.95691462402121
"39","1077325","6.98056636548896",1.93939329226991,"0.28577037108446","6.78654433246585","1.14851223719408e-11",1.08770864816616e-10,"PRJNA481413",1.38214106865521,2.49664551588461,"GC enriched","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__parahaemolyticus"," s__parahaemolyticus","1077325 
  s__parahaemolyticus","1077325; s__parahaemolyticus",""," 1077325; s__parahaemolyticus"," 1077325 
  s__parahaemolyticus",1.93939329226991
"110","4318284","",1.93132146411232,"","","",8.7069159486392e-05,"Combined",0.966677487254903,2.89596544096973,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__"," g__Dialister","4318284 
  g__Dialister","4318284; g__Dialister","*","* 4318284; g__Dialister","* 4318284 
  g__Dialister",1.93132146411232
"105","4302282","",1.91156638464878,"","","",3.31550383323734e-07,"Combined",1.17759614601763,2.64553662327993,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4302282 
  g__Leptotrichia","4302282; g__Leptotrichia","*","* 4302282; g__Leptotrichia","* 4302282 
  g__Leptotrichia",1.91156638464878
"194","73894","3.14950491778544",1.90558726135182,"0.341928838951397","5.57305218008443","2.50314555290398e-08",1.1779508484254e-06,"PRJNA375772_Xi_an",1.2388260253966,2.57234849730704,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__"," o__Clostridiales","73894 
  o__Clostridiales","73894; o__Clostridiales","*","* 73894; o__Clostridiales","* 73894 
  o__Clostridiales",1.90558726135182
"101","4302282","22.4498864797148",1.86574442842414,"0.313079205441202","5.95933679400671","2.5326365534805e-09",1.13324754257433e-08,"PRJEB26931",1.2552399778138,2.47624887903449,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4302282 
  g__Leptotrichia","4302282; g__Leptotrichia","*","* 4302282; g__Leptotrichia","* 4302282 
  g__Leptotrichia",1.86574442842414
"140","4432270","",1.83777554707581,"","","",0.00850593476785903,"Combined",0.468879468852224,3.2066716252994,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__mucosae"," s__mucosae","4432270 
  s__mucosae","4432270; s__mucosae",""," 4432270; s__mucosae"," 4432270 
  s__mucosae",1.83777554707581
"44","1087878","6.16528000845283",1.80894415547011,"0.237524561986409","7.61581935081567","2.62023942579538e-14",3.16393910664792e-13,"PRJNA481413",1.34577125959661,2.2721170513436,"GC enriched","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__"," g__Actinomyces","1087878 
  g__Actinomyces","1087878; g__Actinomyces","*","* 1087878; g__Actinomyces","* 1087878 
  g__Actinomyces",1.80894415547011
"134","4399326","5.79672546285861",1.80650974641305,"0.261097165578144","6.91891749346615","4.55107810065707e-12",4.57952233878617e-11,"PRJNA481413",1.29737027353567,2.31564921929043,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__"," g__Selenomonas","4399326 
  g__Selenomonas","4399326; g__Selenomonas","*","* 4399326; g__Selenomonas","* 4399326 
  g__Selenomonas",1.80650974641305
"199","851961","3.89243368397",1.7722600453277,"0.339683033876095","5.2173934773974","1.81458516497028e-07",7.64035858934856e-06,"PRJNA375772_Xi_an",1.10987812926931,2.43464196138608,"GC enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","851961 
  g__Prevotella","851961; g__Prevotella","*","* 851961; g__Prevotella","* 851961 
  g__Prevotella",1.7722600453277
"130","4396516","",1.74898111895419,"","","",0.00250686806500514,"Combined",0.61484470829784,2.88311752961053,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__"," f__Lachnospiraceae","4396516 
  f__Lachnospiraceae","4396516; f__Lachnospiraceae",""," 4396516; f__Lachnospiraceae"," 4396516 
  f__Lachnospiraceae",1.74898111895419
"128","4396516","23.406052751666",1.72284212340775,"0.378044840470747","4.55724278967131","5.1829500739014e-06",0.00015356889107856,"PRJNA375772_Xi_an",0.985654684489796,2.46002956232571,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__"," f__Lachnospiraceae","4396516 
  f__Lachnospiraceae","4396516; f__Lachnospiraceae",""," 4396516; f__Lachnospiraceae"," 4396516 
  f__Lachnospiraceae",1.72284212340775
