SampleID,Study,Group,Shannon
ERR1995049,Study1,case,3.1378323403073507
ERR1995038,Study1,case,4.045529861976589
ERR1994996,Study1,control,0.03592160269941898
ERR1994997,Study1,control,0.02694245761249682
ERR1994992,Study1,control,0.6819459927345584
ERR1994989,Study1,control,0.07928267344888433
ERR1994998,Study1,control,0.44584057542971295
ERR1994990,Study1,control,0.008981655624947215
ERR1995045,Study1,case,0.008981655624947215
ERR1995009,Study1,control,0.6155847581746875
ERR1995039,Study1,case,2.0355653421146482
ERR1994991,Study1,control,0.008981655624947215
ERR1995047,Study1,case,0.008981655624947215
ERR1994999,Study1,control,0.3684813760832032
ERR1995000,Study1,control,0.19418882110499075
ERR1995001,Study1,control,0.3805823722153684
ERR1995050,Study1,case,1.6858187391689354
ERR1995041,Study1,case,2.9881735801541818
ERR1995004,Study1,control,0.008981655624947215
ERR1994993,Study1,control,0.0703077253910978
ERR1995008,Study1,control,0.008981655624947215
ERR1994995,Study1,control,0.9981320988582594
ERR1995002,Study1,control,0.28995133736957024
ERR1995006,Study1,control,0.3827385989646561
ERR1995005,Study1,control,0.03592160269941898
ERR1994994,Study1,control,0.03439953268419828
ERR1995003,Study1,control,0.11530943797453765
ERR1995007,Study1,control,0.182217110838216
ERR1995048,Study1,case,6.508879749557236
ERR1995051,Study1,case,0.008981655624947215
ERR2596973,Study2,case,1.1980962290164063
ERR2596974,Study2,case,4.598523149084231
ERR2596979,Study2,case,4.798728270779066
ERR2596981,Study2,case,5.705449916329122
ERR2596982,Study2,case,5.776143416531122
ERR2596983,Study2,case,1.94767158450322
ERR2596984,Study2,case,4.18125464683588
ERR2596985,Study2,case,1.050549890536857
ERR2596987,Study2,case,4.826685004156811
ERR2596988,Study2,case,0.8302570375983008
ERR2596989,Study2,case,5.202603539806503
ERR2596990,Study2,control,6.426708639315077
ERR2596991,Study2,control,6.860851561976356
ERR2596992,Study2,control,3.5243088630410178
ERR2596993,Study2,control,5.310728649568564
ERR2596994,Study2,control,7.040150128575248
ERR2596995,Study2,control,6.80800682712515
ERR2596996,Study2,control,3.5111776531645207
ERR2596997,Study2,case,0.5056366682836604
ERR2596998,Study2,control,5.2022498262134995
ERR2596999,Study2,control,5.5762899424718215
ERR2597000,Study2,control,5.543087094015531
ERR2597001,Study2,control,3.966995549175787
ERR2597002,Study2,control,4.1666795669987335
ERR2597003,Study2,control,7.680530417472781
ERR2597004,Study2,control,4.087075785876501
ERR2597005,Study2,control,2.777456168043224
ERR2597006,Study2,control,5.30109462358809
ERR2597007,Study2,control,6.930220853918343
ERR2597010,Study2,control,5.308466562850484
ERR2597011,Study2,control,5.124867482278797
ERR2597021,Study2,case,4.497557616873237
ERR2597037,Study2,case,2.32834421055013
ERR2597041,Study2,case,0.5709846439621362
ERR2597042,Study2,case,3.6912021106089865
ERR2597043,Study2,case,4.8107101098689835
ERR2597044,Study2,control,1.8526616900353168
ERR2597045,Study2,control,5.984848729462754
ERR2597046,Study2,control,5.910745124461586
ERR2597048,Study2,control,5.144644276986711
ERR2597049,Study2,control,3.325518365466768
ERR2597050,Study2,control,7.557608282821504
ERR2597051,Study2,control,3.1592520614523365
ERR2597052,Study2,case,4.019029970103204
ERR2597053,Study2,control,3.4144522645232467
ERR2597054,Study2,control,3.1570560932113185
ERR2597055,Study2,case,3.3668132433466047
ERR2597057,Study2,case,4.781760419695654
ERR2597059,Study2,case,4.909250021585987
ERR2597060,Study2,case,4.748241380724867
ERR2597061,Study2,case,5.220270685353019
ERR2597063,Study2,case,2.447829247599143
ERR2597064,Study2,case,4.951854047323532
ERR2597067,Study2,case,5.434527108914274
ERR2597074,Study2,case,1.806382275139902
ERR2597075,Study2,case,3.712682356454021
ERR2597076,Study2,case,6.624122002677352
ERR2597077,Study2,case,3.5205886367031494
ERR2597078,Study2,case,1.6008134158996656
ERR2597080,Study2,case,0.9809162864719588
ERR2597081,Study2,case,0.4466855309285791
ERR2597088,Study2,case,2.657272207167127
ERR2597098,Study2,case,4.763447842428898
ERR2597099,Study2,case,4.908347059908612
ERR2597101,Study2,case,2.7879614606275887
ERR2597102,Study2,case,0.6957585744660049
ERR2597103,Study2,case,5.321082820906541
ERR2597104,Study2,case,4.530002285008878
ERR2597105,Study2,case,4.72929843377713
ERR2597113,Study2,case,1.6762942814551554
ERR2597114,Study2,case,0.5091867536555327
ERR2597115,Study2,case,1.591776749046353
ERR2597117,Study2,case,0.5351971281984286
ERR2597119,Study2,case,4.487891080079585
ERR2597121,Study2,case,4.054092151827448
ERR2597122,Study2,case,0.5792530567105365
ERR2597123,Study2,case,4.763600637183416
ERR2597128,Study2,case,6.222174372281697
ERR2597133,Study2,control,5.822625508779963
ERR2597139,Study2,case,0.954036835680464
ERR2597140,Study2,case,2.761087356170008
ERR2597141,Study2,case,5.680947806180606
ERR2597142,Study2,case,6.155874615288048
ERR2597143,Study2,case,0.5693466637810944
ERR2597144,Study2,case,5.767251940698039
ERR2597145,Study2,case,3.5440912066157417
ERR2597146,Study2,case,2.581782867501256
ERR2597147,Study2,case,4.6499430249665865
ERR2597148,Study2,case,4.288493756616506
ERR2597149,Study2,case,4.4538114357744885
ERR2597155,Study2,case,4.920395948112168
ERR2597157,Study2,case,4.2788964820548605
ERR2597161,Study2,case,4.777418078606796
ERR2597177,Study2,case,1.168551871827667
ERR2597178,Study2,case,2.4164213219912827
ERR2597183,Study2,case,5.561376346463844
ERR2597185,Study2,case,3.3942369962523595
ERR2597188,Study2,case,0.5252062730402676
ERR2597190,Study2,case,3.9390231200188777
ERR2597204,Study2,case,6.507806276462082
ERR2597218,Study2,control,4.5983769620677535
ERR2597223,Study2,control,4.951146957681127
ERR2597224,Study2,control,5.68924129335408
ERR2597233,Study2,case,0.4919696207297392
ERR2597253,Study2,case,4.257710526718954
ERR2597254,Study2,case,0.6598319209464072
ERR2597260,Study2,case,3.460461233561792
ERR2597261,Study2,case,3.0035317614524533
ERR2597262,Study2,case,4.516415730078181
ERR2597263,Study2,case,3.1277854120825297
ERR2597264,Study2,case,3.9872308112856936
ERR2597265,Study2,case,3.5355452598352777
ERR2597266,Study2,case,5.040578527230215
ERR2597267,Study2,case,0.31342934368590863
ERR2597268,Study2,case,6.834015492351528
ERR2597269,Study2,case,5.313879740712111
ERR2597274,Study2,control,4.545924385258294
ERR2597275,Study2,control,5.087157370650739
ERR2597276,Study2,control,6.127806885810753
ERR2597277,Study2,control,5.999940362808203
ERR2597278,Study2,control,3.2013723459328305
ERR2597279,Study2,control,2.9322653798260667
ERR2597280,Study2,control,5.938679798586162
ERR2597281,Study2,control,4.2559939221747545
ERR2597282,Study2,control,4.493876584497854
SRR5269897,Study3,case,5.604706074839963
SRR5269808,Study3,control,6.07912155629141
SRR5269859,Study3,control,3.6970289746978784
SRR5269839,Study3,control,4.496632972081605
SRR5269935,Study3,control,6.713732001762563
SRR5270079,Study4,control,8.622506552438875
SRR5270073,Study4,control,7.651873424963348
SRR5269766,Study3,control,6.016339822901922
SRR5269948,Study4,control,8.288095840400523
SRR5269809,Study3,control,3.1208705188035566
SRR5269840,Study3,control,5.8017368247065475
SRR5269969,Study4,control,3.3501959367131544
SRR5269922,Study4,case,8.431551760820202
SRR5269842,Study3,control,4.4785909223414375
SRR5269745,Study4,case,4.733332379924902
SRR5269812,Study3,case,6.488565054582257
SRR5270020,Study3,control,6.2035203499690725
SRR5269814,Study4,control,5.6710717974950935
SRR5269846,Study3,control,3.62553141086056
SRR5269873,Study3,case,3.298875452269672
SRR5269796,Study4,control,5.277359323298162
SRR5269875,Study3,case,6.158894590487599
SRR5269786,Study4,control,5.949047276291663
SRR5269858,Study3,control,2.9111052178091414
SRR5270092,Study3,control,3.3146322809438966
SRR5269974,Study3,case,1.920298715441865
SRR5269850,Study3,control,6.221091007002909
SRR5269965,Study4,control,7.03774457133733
SRR5269797,Study4,control,6.305687722294242
SRR5269775,Study4,control,6.2545491556647566
SRR5269862,Study3,control,5.692464883798699
SRR5269890,Study3,case,2.0367879918210567
SRR5269891,Study3,case,4.994287509350898
SRR5269750,Study4,case,5.3021725379354105
SRR5270104,Study3,case,4.793377454431388
SRR5269849,Study3,control,4.220565254214471
SRR5270103,Study3,case,6.440189715590472
SRR5269860,Study3,control,4.689091386223129
SRR5269774,Study4,control,6.183164978757559
SRR5269950,Study4,control,6.679199306003741
SRR5269924,Study4,case,6.358036399018258
SRR5270088,Study4,case,7.000486471478283
SRR5269848,Study3,control,4.488587986311015
SRR5269880,Study3,case,4.9420292989131935
SRR5269863,Study3,control,4.253348968721457
SRR5269844,Study3,control,3.5025093363695388
SRR5270001,Study4,case,7.919405557674349
SRR5270107,Study4,control,7.656486197933707
SRR5269851,Study3,control,3.1162435820744827
SRR5269755,Study4,case,6.626824148670638
SRR5269982,Study4,control,4.5690929214352805
SRR5269748,Study4,case,6.488189926834518
SRR5270060,Study4,control,7.4122100009419825
SRR5269884,Study3,case,4.4785693745692665
SRR5269881,Study3,case,5.4197442160777545
SRR5269824,Study4,control,5.4706417699908565
SRR5269879,Study3,case,4.5846292718982316
SRR5269953,Study4,control,7.317131577996412
SRR5269757,Study4,case,5.669725888517928
SRR5270016,Study4,case,6.544478166909168
SRR5269857,Study3,control,4.181857080416049
SRR5269899,Study3,case,4.2574162805710785
SRR5269825,Study4,control,4.527779527782432
SRR5270075,Study4,control,7.6849149418287075
SRR5269813,Study4,control,6.264414932715013
SRR5269817,Study4,control,4.709349940526799
SRR5270047,Study3,control,6.3893103136535805
SRR5269758,Study4,case,6.45545352341478
SRR5269868,Study3,control,6.341697492718962
SRR5269936,Study3,control,6.9390911013290175
SRR5269898,Study3,case,4.657997712200954
SRR5269927,Study4,case,7.796007020851045
SRR5270012,Study4,case,8.018229370383253
SRR5270044,Study4,control,6.326630422906362
SRR5269941,Study4,control,5.935030389519928
SRR5269872,Study3,case,4.714379464867894
SRR5269853,Study3,control,5.5555501444261575
SRR5269836,Study3,control,4.717961944514274
SRR5270003,Study4,case,7.141884632164322
SRR5269882,Study3,case,3.8923383006917214
SRR5269970,Study3,case,7.812412520644673
SRR5269938,Study3,control,6.547523414336221
SRR5269887,Study3,case,4.066575906606267
SRR5269754,Study4,case,6.655558096075892
SRR5269847,Study3,control,4.008531221809887
SRR5269981,Study4,control,8.134559486255743
SRR5269889,Study3,case,6.588636041347284
SRR5270011,Study4,case,7.180707364934324
SRR5269952,Study4,control,7.377374466290016
SRR5269925,Study4,case,7.720839294682789
SRR5269854,Study3,control,3.483458499324984
SRR5269746,Study4,case,5.6580409384727846
SRR5270074,Study4,control,7.823024710050517
SRR5269861,Study3,control,3.7313877901721617
SRR5269865,Study3,control,6.9221673574783384
SRR5269867,Study3,control,3.3970434381970835
SRR5269896,Study3,case,3.256381988109174
SRR5270089,Study3,control,8.638615426415942
SRR5270077,Study4,control,5.706306923976115
SRR5269768,Study3,control,5.03766740849259
SRR5269756,Study4,case,6.716623361703526
SRR5269864,Study3,control,4.973123876414067
SRR5270022,Study3,control,4.0127520037646445
SRR5270059,Study4,control,6.879837908736437
SRR5269747,Study4,case,6.047246059453332
SRR5269886,Study3,case,5.110802186320607
SRR5270101,Study4,control,6.522804316770773
SRR5270013,Study4,case,6.839148560003205
SRR5269940,Study4,control,4.679425405190167
SRR5269894,Study3,case,5.8759918566457054
SRR5269885,Study3,case,3.8706782749595936
SRR5269876,Study3,case,5.2296889751501405
SRR5269838,Study3,control,4.258761487115376
SRR5269883,Study3,case,5.512457202740909
SRR5270072,Study4,control,7.054218545439932
SRR5269929,Study4,case,8.025705901907799
SRR5269878,Study3,case,4.081690439656172
SRR5269753,Study4,case,6.12431029817647
SRR5269928,Study4,case,8.04231293320017
SRR5269835,Study3,control,3.9709326579388073
SRR5270018,Study4,case,5.601730218659738
SRR5269773,Study4,control,7.619781802614822
SRR5270036,Study4,control,8.20290681762478
SRR5269971,Study3,case,8.536483996589173
SRR5269871,Study3,case,4.64175981188153
SRR5270004,Study4,case,7.2858066180222725
SRR5269764,Study3,control,5.377209097174085
SRR5270041,Study4,control,8.082146721631283
SRR5269937,Study3,control,8.152819622152245
SRR5269930,Study4,case,5.7110462899970695
SRR5270042,Study4,control,8.108734698965822
SRR5269787,Study4,control,6.206364411642214
SRR5269845,Study3,control,5.178898116400742
SRR5269895,Study3,case,3.798184891454648
SRR5269807,Study3,control,8.223790670301534
SRR5270106,Study4,control,6.2879169084911215
SRR5270021,Study3,control,3.726350246692833
SRR5269826,Study4,control,3.5234884785213456
SRR5269837,Study3,control,5.40923963377942
SRR5270002,Study4,case,6.758690474226206
SRR5270014,Study4,case,4.176865886936708
SRR5269852,Study3,control,2.889042658325053
SRR5269934,Study3,control,7.120759015071381
SRR5269888,Study3,case,3.857576066861598
SRR5269742,Study4,control,2.81308372623671
SRR5269762,Study3,control,6.147758927662998
SRR5269877,Study3,case,4.835210584094559
SRR5269815,Study4,control,3.824380415478565
SRR5269949,Study4,control,7.245399013651397
SRR5269932,Study4,case,6.659575638593111
SRR5270000,Study4,case,6.5252809472083175
SRR5270043,Study4,control,5.863576730754698
SRR5269920,Study4,case,7.9492400202830815
SRR5269763,Study3,control,3.8937996306712312
SRR5270078,Study4,control,6.3808050601961686
SRR5269843,Study3,control,6.016723115897112
SRR5270008,Study4,case,4.728720377055247
SRR5269972,Study3,case,7.838450141794508
SRR5269752,Study4,control,5.587368525268767
SRR5269743,Study3,case,4.468166173819529
SRR5269856,Study3,control,2.6290994657444418
SRR5270035,Study4,control,7.765405237386617
SRR5269855,Study3,control,3.5414431173595107
SRR5270017,Study4,control,7.149216786937036
SRR5269939,Study4,control,3.9075507660092232
SRR5270040,Study4,control,7.973523343723032
SRR5269765,Study3,control,5.528173105605996
SRR5270076,Study4,control,7.811676987158765
SRR5270091,Study3,control,5.6025723668111596
SRR5270007,Study4,control,7.308482907865372
SRR5270061,Study4,control,7.188158425104978
SRR5269931,Study4,case,6.6677828249750055
SRR5270090,Study3,control,3.864317717491239
SRR5270009,Study4,case,4.626270764721436
SRR5269841,Study3,control,4.464382054960313
SRR5269816,Study4,control,5.5702032170207
SRR5269730,Study3,case,8.699111510321982
SRR5270019,Study4,case,6.295181096140382
SRR5269761,Study4,control,5.812832072785352
SRR5269744,Study4,case,5.551023712440598
SRR5269874,Study3,case,4.9382699315603285
SRR5269727,Study4,case,7.272157709033638
SRR5270071,Study4,control,7.6631757775324765
SRR5270006,Study4,case,3.0192814814960363
SRR5270010,Study4,case,7.689530099548745
SRR5269767,Study3,control,5.010317661893996
SRR7533893,Study5,control,3.99167070613564
SRR7533885,Study5,control,0.4755045893434712
SRR7533886,Study5,control,4.620267190941854
SRR7533892,Study5,control,5.939144286341636
SRR7534221,Study5,control,4.939055316430139
SRR7534222,Study5,control,0.16881704538082795
SRR7534225,Study5,control,4.793916181812794
SRR7534226,Study5,control,0.5391291342329528
SRR7534228,Study5,control,0.06836516807290052
SRR7534101,Study5,control,0.1855736382028146
SRR7534099,Study5,control,3.682367620837725
SRR7534100,Study5,control,3.6195327710763263
SRR7534105,Study5,control,4.858325296305862
SRR7534106,Study5,control,0.4042388958714265
SRR7534104,Study5,control,4.370043324700692
SRR7534107,Study5,control,1.9207000065726718
SRR7534108,Study5,control,3.638425949742653
SRR7533944,Study5,control,2.9037331707819662
SRR7533941,Study5,control,3.6696648640095377
SRR7533947,Study5,control,0.3553678682181459
SRR7533946,Study5,control,5.426825666855626
SRR7533939,Study5,control,0.8297301560356248
SRR7533945,Study5,control,1.6137248956021482
SRR7533949,Study5,control,4.31802921887778
SRR7533834,Study5,control,3.2857173180671952
SRR7533835,Study5,control,0.13806859169747052
SRR7533836,Study5,control,0.19757423490073675
SRR7533831,Study5,control,0.13468018796610287
SRR7533833,Study5,control,0.054976584170850135
SRR7533840,Study5,control,1.2643281643590754
SRR7534181,Study5,control,0.19356564619482264
SRR7534175,Study5,control,0.11191499413888084
SRR7534177,Study5,control,0.13068418397009887
SRR7534174,Study5,control,0.413048936099532
SRR7534047,Study5,control,0.2035682408947428
SRR7534048,Study5,control,5.1561769733777005
SRR7534046,Study5,control,0.7201716129681888
SRR7534042,Study5,control,5.243941020218445
SRR7533903,Study5,control,0.12130031696056665
SRR7533897,Study5,control,0.13268218596810089
SRR7533896,Study5,control,5.807757354412727
SRR7534162,Study5,control,5.4409368164828065
SRR7534163,Study5,control,0.2636243078562979
SRR7534164,Study5,control,0.2196885475262301
SRR7534169,Study5,control,6.3649772703266585
SRR7534171,Study5,control,0.08714598093821598
SRR7533875,Study5,control,0.04558255722260555
SRR7533876,Study5,control,5.128510092587083
SRR7533877,Study5,control,3.4373811815621296
SRR7533878,Study5,control,5.510502950904662
SRR7533873,Study5,control,0.1460605996894785
SRR7533874,Study5,control,0.3019737578321784
SRR7533981,Study5,case,0.25303610094843304
SRR7533988,Study5,case,5.245278185521545
SRR7533986,Study5,case,3.73173596269508
SRR7533985,Study5,case,5.551656890774976
SRR7533979,Study5,case,0.022794164006197475
SRR7533978,Study5,case,0.3841161970789573
SRR7534093,Study5,case,0.2369202063221631
SRR7534094,Study5,case,5.536660909039214
SRR7534091,Study5,case,0.7684807649520633
SRR7534092,Study5,case,0.14206459569347452
SRR7534090,Study5,case,3.185071154336777
SRR7534087,Study5,case,5.459509134102789
SRR7534095,Study5,case,6.0714637482536435
SRR7534096,Study5,case,5.428752369576709
SRR7534098,Study5,case,0.8332749659798766
SRR7534207,Study5,case,0.4591960056002802
SRR7534210,Study5,case,5.872100276874275
SRR7534209,Study5,case,0.2881851039251667
SRR7534204,Study5,case,0.12130031696056665
SRR7534203,Study5,case,3.4984384808091
SRR7534206,Study5,case,1.162790995042669
SRR7534205,Study5,case,1.7613006505809141
SRR7534215,Study5,case,2.202444120735654
SRR7533916,Study5,case,5.675207196136963
SRR7533977,Study5,case,5.8625747627951785
SRR7533918,Study5,case,0.03418908268555797
SRR7533919,Study5,case,0.16881704538082795
SRR7533921,Study5,case,0.6979299960101653
SRR7533922,Study5,case,4.612935042462286
SRR7534020,Study5,case,5.455415325645094
SRR7533931,Study5,case,1.8413593519927527
SRR7533932,Study5,case,4.466914882850683
SRR7533998,Study5,case,2.3804719474814204
SRR7533997,Study5,case,5.416196193935882
SRR7533996,Study5,case,0.08639184756942132
SRR7533995,Study5,case,3.8355746980350935
SRR7533915,Study5,case,1.4156502849364658
SRR7533994,Study5,case,0.0977780796092766
SRR7534013,Study5,case,1.2869745501244756
SRR7534012,Study5,case,3.441170603915186
SRR7534132,Study5,case,5.420884093307726
SRR7534133,Study5,case,0.020796162008195482
SRR7534138,Study5,case,0.08714598093821598
SRR7534139,Study5,case,5.802929883898795
SRR7534136,Study5,case,1.3211846060302648
SRR7534137,Study5,case,4.290397374049897
SRR7534130,Study5,case,5.941722301399452
SRR7534131,Study5,case,5.48477562170169
SRR7533844,Study5,case,0.41828305686637257
SRR7533843,Study5,case,0.21493841016143145
SRR7533846,Study5,case,2.3109713684869733
SRR7533845,Study5,case,5.2672542856630304
SRR7533850,Study5,case,0.11854818159376998
SRR7533849,Study5,case,5.511469855965808
SRR7533955,Study5,control,0.192682529653744
SRR7533956,Study5,control,4.301091676517364
SRR7533842,Study5,control,6.071460643419948
SRR7533953,Study5,control,4.925571719804634
SRR7533954,Study5,control,4.2392498308084985
SRR7533952,Study5,control,1.3381638026170812
SRR7534128,Study5,control,4.6830188109294815
SRR7534129,Study5,control,0.2497942303212237
SRR7534062,Study5,control,0.06836516807290052
SRR7534061,Study5,control,0.11391299613688285
SRR7534068,Study5,control,4.796175821892353
SRR7534067,Study5,control,5.508674549777383
SRR7534066,Study5,control,4.648875737304016
SRR7534065,Study5,control,4.496401279983188
SRR7534153,Study5,control,0.7930256493576817
SRR7534145,Study5,control,5.6642861424709965
SRR7534144,Study5,control,1.7776157216598711
SRR7534147,Study5,control,1.8032803015021224
SRR7534146,Study5,control,2.338465568696754
SRR7534143,Study5,control,4.206620133344492
SRR7534149,Study5,control,0.008981655624947215
SRR7533993,Study5,control,0.3216665595643559
SRR7534025,Study5,control,0.8492441732416494
SRR7533992,Study5,control,4.7258406876234815
SRR7534024,Study5,control,5.3540118992697385
SRR7534021,Study5,control,3.877578742168004
SRR7534022,Study5,control,0.13268218596810089
SRR7534029,Study5,control,0.44299249915310013
SRR7533925,Study5,control,0.9687814305310141
SRR7533990,Study5,control,0.21493841016143145
SRR7533930,Study5,control,0.9672717496975568
SRR7533927,Study5,control,4.986415421893904
SRR7533917,Study5,control,0.2651545179038133
SRR7534216,Study5,control,0.03418908268555797
SRR7534217,Study5,control,3.6595725705202273
SRR7534218,Study5,control,0.10252821697407527
SRR7534212,Study5,control,0.06636716607489852
SRR7534208,Study5,control,0.7278029879632479
SRR7534186,Study5,control,5.086360524354276
SRR7534185,Study5,control,5.912687832189228
SRR7534188,Study5,control,0.7163081079748472
SRR7534184,Study5,case,0.06836516807290052
SRR7534183,Study5,case,6.506037762539235
SRR7534072,Study5,case,0.9059721625918614
SRR7534069,Study5,case,3.5277037086176244
SRR7534070,Study5,case,1.5710460986800856
SRR7534075,Study5,case,6.53833636473204
SRR7534076,Study5,case,0.10053021497607327
SRR7534073,Study5,case,3.3928808508243726
SRR7534063,Study5,case,6.35253530662228
SRR7533966,Study5,case,6.1588662124473
SRR7533965,Study5,case,4.644879078889286
SRR7533963,Study5,case,5.9156438107706295
SRR7533962,Study5,case,0.9629454135826928
SRR7533960,Study5,case,5.134639822330078
SRR7533959,Study5,case,5.786371740996066
SRR7533958,Study5,case,2.71913389660048
SRR7533871,Study5,case,3.8809207988992163
SRR7533851,Study5,case,3.0836366957691985
SRR7533852,Study5,case,0.3854330490480313
SRR7533853,Study5,case,4.4907937148044095
SRR7533855,Study5,case,2.9427675099788098
SRR7533857,Study5,case,4.5414798702674215
SRR7533859,Study5,case,6.128494407310457
SRR7533860,Study5,case,4.458056294288645
SRR7533825,Study5,case,3.8841004406099824
SRR7533824,Study5,case,1.3718865405820753
SRR7533820,Study5,case,0.3521526350746885
SRR7533823,Study5,case,4.3931803336407516
SRR7534119,Study5,case,5.721875808821182
SRR7533991,Study5,case,3.2624220208829517
SRR7533999,Study5,case,2.1514058816794743
SRR7533887,Study5,case,1.0039303244294315
SRR7533888,Study5,case,3.8544646137506255
SRR7533889,Study5,case,3.177872011292375
SRR7533890,Study5,case,3.2220781578500275
SRR7533891,Study5,case,0.2662488034159617
SRR7533856,Study5,case,1.0987255097630346
SRR7534113,Study5,case,3.988204502662741
SRR7534114,Study5,case,3.197199882060245
SRR7534005,Study5,case,5.214604774847085
SRR7534006,Study5,case,2.524177345085896
SRR7534003,Study5,case,0.8318643095526035
SRR7534004,Study5,case,1.8187112263689995
SRR7534009,Study5,case,4.5391488727228255
SRR7534010,Study5,case,0.07500416411563796
SRR7534007,Study5,case,1.1919155881818644
SRR7534008,Study5,case,4.107081412419732
SRR7534001,Study5,case,5.8958531224093225
SRR7534002,Study5,case,2.1666966659790763
SRR7534122,Study5,case,3.9646431148473855
SRR7534121,Study5,case,4.756166950181088
SRR7534124,Study5,case,4.2397576294472845
SRR7534125,Study5,case,2.5374737389738606
SRR7534127,Study5,case,6.054454067873497
SRR7534043,Study5,control,4.7991056586356144
SRR7534017,Study5,case,3.684359490008682
SRR7534015,Study5,case,3.6278316330270015
SRR7534187,Study5,control,4.232290823265875
SRR7534189,Study5,control,1.3521583822038408
